model,attack,test_dataset,time,mean_time,mean_iterations,eps,iter,mean_psnr,mean_vmaf,clear_correct,attacked_success,target_success,num_total,metric_workers
tsm,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,301.7869,2.4047,8.18,8.0,20,42.62903365449109,97.95434653731341,67,51,51,100,12
tsn,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,345.2523,1.2213,9.15,8.0,20,44.62557645107235,87.61418471107044,72,60,60,100,12
uniformerv2,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,316.5538,1.5387,3.88,8.0,20,43.89431684870051,98.17092426136365,88,88,88,100,12
amd,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,435.5725,1.9977,3.23,8.0,20,44.83108128297178,97.829708275,80,80,80,100,12
onepeace,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,1259.0949,12.3228,6.71,8.0,20,44.51211990013791,99.42959879452057,73,65,65,100,12
videomae,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,618.6181,2.0934,3.05,8.0,20,44.97068739907483,99.09449260714284,84,84,84,100,12
slowonly,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,1140.1787,10.135,19.7,8.0,20,41.555851572715014,99.43512193023253,43,1,1,100,12
tpn,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,630.3565,2.8814,7.25,8.0,20,43.37440637448746,99.33516459154927,71,57,57,100,12
tadaformer,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,2791.3225,26.8093,20.0,8.0,20,37.80751687695306,93.92800065882356,85,84,84,100,12
videomaev2,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,623.8505,2.8296,4.47,8.0,20,43.412641708080955,96.62822641111113,90,90,90,100,12
c2d,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,617.7263,1.4122,4.36,8.0,20,43.18098459379334,99.47060424675324,77,77,77,100,12
r2plus1d,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,634.544,2.7457,6.9,8.0,20,41.462557457773684,99.29271692307692,52,52,52,100,12
tanet,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,924.8409,2.9284,5.15,8.0,20,42.78326966770473,95.04355495062725,68,66,66,100,12
uniformer,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,963.3868,3.7029,5.75,8.0,20,44.712646540589866,99.24815595061727,81,81,81,100,12
videoswin,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,1444.1235,5.895,4.41,8.0,20,44.26139037274405,96.57615122229599,81,78,78,100,12
mvitv2,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,1190.1614,3.8712,4.21,8.0,20,45.92631005242637,98.97009628395061,81,81,81,100,12
actionclip,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,326.7127,2.1095,20.0,8.0,20,40.39070344708714,97.52551662686568,67,67,67,100,12
umt,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,967.6363,0.0,0.0,8.0,20,0.0,0.0,0,0,0,100,12
x3d,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,1278.2814,3.7482,5.61,8.0,20,43.931521866942326,99.314473472973,74,65,65,100,12
internvideo2,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,1197.0256,11.0845,6.99,8.0,20,43.69284260952306,98.19590380459769,87,87,87,100,12
csn,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,1489.4262,22.5846,20.0,8.0,20,0.0,99.922403,2,0,0,100,12
i3d,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,2579.4213,2.6279,4.92,8.0,20,42.98606692418758,96.92137177333333,75,73,73,100,12
internvideo,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,240.7182,0.3624,3.05,8.0,20,47.21573086251825,98.06075562666666,75,75,75,100,12
i3dnonlocal,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,2675.7273,3.8394,6.36,8.0,20,41.02795848216951,97.63437866666669,33,33,33,100,12
slowfast,ifgsm_target_no_defence_non-adaptive,Kinetics400Dataset,2663.4214,4.4348,6.5,8.0,20,42.682300372614,96.4028523833333,60,53,53,100,12
timesformer,ifgsm_target_rotate_adaptive,Kinetics400Dataset,184.3102,1.1198,13.82,8.0,20,37.25859222218566,96.73062394444442,72,64,47,100,12
tsmnonlocal,ifgsm_target_rotate_adaptive,Kinetics400Dataset,326.5473,2.801,13.53,8.0,20,37.41225256372205,98.02027245454542,55,49,38,100,12
ila,ifgsm_target_rotate_adaptive,Kinetics400Dataset,511.9292,4.5375,17.91,8.0,20,36.816334793605414,98.3256477101449,69,48,45,100,12
tsm,ifgsm_target_rotate_adaptive,Kinetics400Dataset,453.7652,4.0471,14.29,8.0,20,37.37870738447083,97.94397342307697,52,44,40,100,12
tsn,ifgsm_target_rotate_adaptive,Kinetics400Dataset,268.4356,1.654,19.52,8.0,20,39.0488810973831,98.79486641379307,58,51,31,100,12
uniformerv2,ifgsm_target_rotate_adaptive,Kinetics400Dataset,533.0722,4.5959,13.4,8.0,20,37.71993730806283,93.22791841666667,84,74,59,100,12
videomaev2,ifgsm_target_rotate_adaptive,Kinetics400Dataset,846.3661,7.303,12.14,8.0,20,38.27406046507106,96.21871943333333,90,75,72,100,12
slowonly,ifgsm_target_rotate_adaptive,Kinetics400Dataset,1199.0343,10.9109,19.53,8.0,20,38.01901245996894,99.19506213333332,30,7,3,100,12
tpn,ifgsm_target_rotate_adaptive,Kinetics400Dataset,973.4735,5.8996,12.73,8.0,20,37.95987947201593,93.16008063810845,60,55,43,100,12
c2d,ifgsm_target_rotate_adaptive,Kinetics400Dataset,983.853,4.8435,13.95,8.0,20,37.591264893205086,93.94641523607233,65,61,46,100,12
tanet,ifgsm_target_rotate_adaptive,Kinetics400Dataset,810.7692,7.0086,14.98,8.0,20,37.20192827993448,97.18992053703705,54,47,37,100,12
tadaformer,ifgsm_target_rotate_adaptive,Kinetics400Dataset,2847.8495,27.4426,20.0,8.0,20,36.34785105590561,91.13368208235293,85,45,30,100,12
onepeace,ifgsm_target_rotate_adaptive,Kinetics400Dataset,3416.3211,33.2708,20.0,8.0,20,37.93737832535637,89.11299872023386,69,30,1,100,12
uniformer,ifgsm_target_rotate_adaptive,Kinetics400Dataset,1125.0576,9.7428,15.22,8.0,20,39.281131402021245,96.78919222784813,79,62,53,100,12
videoswin,ifgsm_target_rotate_adaptive,Kinetics400Dataset,1823.4168,16.8349,14.66,8.0,20,37.56866741694821,94.12788579220779,77,66,54,100,12
mvitv2,ifgsm_target_rotate_adaptive,Kinetics400Dataset,1360.1563,11.6195,13.2,8.0,20,39.765001214846166,95.53564843902441,82,60,58,100,12
r2plus1d,ifgsm_target_rotate_adaptive,Kinetics400Dataset,693.5524,6.3621,15.5,8.0,20,37.07229016905512,97.63799554000006,50,47,32,100,12
amd,ifgsm_target_rotate_adaptive,Kinetics400Dataset,461.833,4.8534,10.43,8.0,20,38.78452082321517,93.54107287999999,75,65,63,100,12
videomae,ifgsm_target_rotate_adaptive,Kinetics400Dataset,851.0249,8.0013,13.34,8.0,20,37.680103706961255,94.23714323529411,85,71,67,100,12
actionclip,ifgsm_target_rotate_adaptive,Kinetics400Dataset,337.7956,2.3889,20.0,8.0,20,38.663519145065614,95.69739440000001,70,60,51,100,12
internvideo,ifgsm_target_rotate_adaptive,Kinetics400Dataset,205.6595,1.0443,13.97,8.0,20,39.37804861885771,94.10702809999997,70,52,34,100,12
umt,ifgsm_target_rotate_adaptive,Kinetics400Dataset,1866.2495,0.0,0.0,8.0,20,0.0,0.0,0,0,0,100,12
internvideo2,ifgsm_target_rotate_adaptive,Kinetics400Dataset,2573.6203,25.2545,17.97,8.0,20,38.51678677852748,95.91993102325587,86,52,37,100,12
slowfast,ifgsm_target_rotate_adaptive,Kinetics400Dataset,2421.3054,8.8497,12.18,8.0,20,38.08404364411547,88.90240064285716,56,50,45,100,12
i3dnonlocal,ifgsm_target_rotate_adaptive,Kinetics400Dataset,2746.6494,11.6603,16.78,8.0,20,36.677487229124615,91.84595395652174,23,22,17,100,12
x3d,ifgsm_target_rotate_adaptive,Kinetics400Dataset,877.3857,7.2042,13.34,8.0,20,37.862032491286655,97.43950773170732,41,33,21,82,12
csn,ifgsm_target_rotate_adaptive,Kinetics400Dataset,695.9252,27.1816,20.0,8.0,20,0.0,99.858368,1,0,0,54,12
timesformer,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,147.6694,0.5807,5.29,8.0,20,43.82503000005338,99.07316930666666,75,74,73,100,12
tsmnonlocal,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,219.5525,1.6357,7.14,8.0,20,41.992156523416234,91.24759276190474,63,54,54,100,12
ila,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,287.9474,2.5202,8.78,8.0,20,41.092845375129066,96.67780391463413,82,82,82,100,12
tsm,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,326.8746,2.5317,8.16,8.0,20,42.64542642295069,82.99809491394697,67,51,51,100,12
tsn,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,346.8127,1.3936,9.17,8.0,20,44.6178338189345,87.61284251411219,72,60,60,100,12
uniformerv2,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,320.3618,1.7686,4.55,8.0,20,44.66233771024778,98.30191989772726,88,88,88,100,12
amd,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,454.2017,2.702,4.89,8.0,20,44.25036235952831,97.81210760526315,76,76,76,100,12
onepeace,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,1338.5624,12.9353,7.08,8.0,20,44.998719971269146,99.45942043243242,74,70,70,100,12
tadaformer,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,2818.5305,27.1566,20.0,8.0,20,39.05279346529182,95.37309465517238,87,70,66,100,12
videomae,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,633.6211,3.1988,5.04,8.0,20,43.961750848101076,99.02323013253009,83,83,83,100,12
slowonly,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,1165.9632,10.584,19.38,8.0,20,42.477230862383315,97.0435335,42,4,3,100,12
tpn,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,194.1753,2.8888,6.64,8.0,20,43.34733268924166,97.90918534782608,69,65,65,100,12
videomaev2,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,648.5378,4.4144,7.29,8.0,20,42.555846628935825,97.60327743820227,89,88,88,100,12
c2d,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,584.4649,2.3434,6.4,8.0,20,42.97584001478472,96.65159139596999,77,77,77,100,12
r2plus1d,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,420.2003,4.5418,11.17,8.0,20,40.80161861792489,99.32569132692308,52,52,51,100,12
tanet,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,627.2514,3.3187,5.15,8.0,20,42.78343222986767,99.24731519117648,68,66,66,100,12
uniformer,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,989.7646,5.6827,8.85,8.0,20,43.97052272304008,99.25706274074071,81,80,80,100,12
mvitv2,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,1206.6039,7.377,8.32,8.0,20,44.21936453035593,97.55869675308641,81,81,81,100,12
videoswin,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,1457.7005,7.5196,5.75,8.0,20,43.85791425785065,96.70481859712878,81,80,80,100,12
actionclip,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,329.4589,2.242,20.0,8.0,20,41.2307316468424,97.80863663235294,68,68,68,100,12
x3d,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,1612.8957,3.5639,5.91,8.0,20,43.69148714675971,99.27348575675676,74,70,70,100,12
csn,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,1496.4136,19.0193,20.0,8.0,20,0.0,98.303918,1,0,0,100,12
i3d,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,2783.4183,7.1264,12.11,8.0,20,40.01036712336605,97.2791388450704,71,69,69,100,12
i3dnonlocal,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,3034.2828,9.4353,15.24,8.0,20,38.386043454918415,95.78417970588235,34,34,34,100,12
internvideo,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,252.0432,0.463,4.56,8.0,20,46.55987009370826,98.14008210958899,73,71,66,100,12
internvideo2,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,1288.6266,12.2245,8.23,8.0,20,44.25020059519359,98.37471172413788,87,87,87,100,12
umt,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,1087.1786,0.0,0.0,8.0,20,0.0,0.0,0,0,0,100,12
slowfast,ifgsm_target_shuffle_adaptive,Kinetics400Dataset,2216.2862,11.619,16.27,8.0,20,38.91729386667094,93.8631912653061,49,43,42,100,12
timesformer,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,174.317,0.9362,4.15,8.0,20,45.13062758054233,74.56401758160351,71,71,71,100,12
tsmnonlocal,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,218.5087,1.6242,6.3,8.0,20,42.3633288756818,99.1635619552239,67,60,60,100,12
ila,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,300.3909,2.669,8.72,8.0,20,41.13073614764682,99.10467836585362,82,82,82,100,12
tsm,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,334.416,2.8053,8.18,8.0,20,42.62903351388708,99.44441137313434,67,51,51,100,12
tsn,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,267.2508,1.3538,9.17,8.0,20,44.61784059937464,99.42553095833335,72,60,60,100,12
uniformerv2,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,394.3842,3.1263,4.14,8.0,20,45.10502660943298,98.35116450574712,87,87,87,100,12
onepeace,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,1256.0826,11.8486,5.38,8.0,20,46.26135075867382,99.4264857230769,65,64,64,100,12
amd,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,127.2606,4.5334,3.42,8.0,20,46.083149085569964,93.2151170969206,78,78,78,100,12
tpn,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,715.7441,6.7911,5.3,8.0,20,45.33847239596363,99.49313649999999,60,55,55,100,12
videomae,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,949.3942,5.2068,3.03,8.0,20,46.85320407185848,95.1281154174609,73,73,73,100,12
videomaev2,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,774.2575,6.6323,4.52,8.0,20,45.07248905458044,99.12837723595503,89,89,89,100,12
slowonly,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,2335.5601,25.2002,19.52,8.0,20,42.69572078984698,99.4401932580645,31,1,1,100,12
c2d,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,642.5654,4.9431,4.33,8.0,20,44.85332825923369,98.01113126086956,69,69,69,100,12
tadaformer,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,3846.4698,38.2467,20.0,8.0,20,39.103470523868246,95.90382625000002,84,83,83,100,12
r2plus1d,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,868.6009,8.1634,7.15,8.0,20,42.97426940641728,99.23961085106383,47,47,47,100,12
tanet,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,939.2954,4.4257,5.15,8.0,20,42.7830110506921,95.04607095836633,68,66,66,100,12
uniformer,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,1248.3624,10.9506,5.32,8.0,20,46.68328780538092,99.36624888888889,81,81,81,100,12
mvitv2,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,1443.8411,13.2867,4.69,8.0,20,47.38281269268521,97.88783309090911,77,77,77,100,12
videoswin,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,1486.1864,12.3574,4.28,8.0,20,45.67608360765641,96.63935897200918,80,78,78,100,12
actionclip,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,878.5049,8.794,20.0,8.0,20,41.80425747096507,98.01883360317456,63,63,63,100,12
x3d,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,1441.2459,11.1591,4.75,8.0,20,45.72134764276184,99.40052396875,64,60,60,100,12
internvideo,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,217.9567,1.0601,3.3,8.0,20,48.39338351117039,98.54988483561642,73,73,73,100,12
internvideo2,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,603.1385,12.4356,7.35,8.0,20,45.42578364943305,98.31531156756758,37,37,37,47,12
i3d,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,985.9765,25.6877,6.0,8.0,20,44.522696077289446,98.03050476923076,13,12,12,39,12
i3dnonlocal,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,981.1508,35.0664,7.12,8.0,20,42.406198811960785,98.74766199999999,8,8,8,29,12
csn,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,1203.6958,53.092,20.0,8.0,20,0.0,99.858368,1,0,0,48,12
umt,ifgsm_target_temporal_median_adaptive,Kinetics400Dataset,289.1678,0.0,0.0,8.0,20,0.0,0.0,0,0,0,22,12
timesformer,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,343.1262,2.929,20.0,8.0,20,51.07358913242168,99.20899029487181,78,11,0,100,12
tsmnonlocal,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,821.1507,7.6949,20.0,8.0,20,51.52419084243275,99.34688777777777,63,17,3,100,12
ila,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,821.3136,7.7751,20.0,8.0,20,54.1558858362438,98.2500461807229,83,14,6,100,12
tsn,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,493.6625,4.3558,20.0,8.0,20,57.19815803235861,95.08661840909093,66,19,5,100,12
tsm,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,1091.4202,10.3364,19.94,8.0,20,51.4168573618208,99.5273278115942,69,20,4,100,12
uniformerv2,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,96.7437,8.6888,20.0,8.0,20,52.473886806976864,98.67477620454547,88,16,7,100,12
amd,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,1181.3446,11.0887,19.94,8.0,20,53.25100588853438,98.60340935000002,80,29,21,100,12
slowonly,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,2716.864,26.2886,20.0,8.0,20,57.28551674391966,99.54604619047619,42,2,0,100,12
tpn,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,1855.251,17.6214,19.9,8.0,20,52.855915468332746,99.66014827777776,72,25,13,100,12
tadaformer,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,3169.451,30.8671,20.0,8.0,20,54.96033467720139,97.81377189411766,85,5,0,100,12
videomae,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,2113.9646,20.1416,20.0,8.0,20,52.58916891956687,99.37635511904762,84,19,6,100,12
videomaev2,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,2108.8641,20.0997,20.0,8.0,20,54.4202855199808,99.37221423913044,92,13,5,100,12
c2d,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,1451.8567,13.5293,19.93,8.0,20,53.45286098283008,99.65465830666666,75,23,11,100,12
onepeace,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,5664.5574,56.0541,20.0,8.0,20,57.429924575601305,98.26783769736845,76,9,0,100,12
r2plus1d,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,1314.067,15.223,19.88,8.0,20,54.79942354693218,99.75747723076923,52,32,13,100,12
uniformer,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,1996.9766,18.7028,19.93,8.0,20,56.94006604501915,99.55579648148151,81,23,11,100,12
mvitv2,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,2437.951,22.9199,19.8,8.0,20,56.91076311264456,97.03857329268291,82,29,11,100,12
videoswin,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,4761.4518,46.324,19.99,8.0,20,54.25591465606959,99.2053047037037,81,13,4,100,12
tanet,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,1945.4549,20.9859,19.97,8.0,20,53.53208853931663,99.56478305970147,67,29,4,100,12
actionclip,korhonen_et_al_target_crop_resize_adaptive,Kinetics400Dataset,520.6411,4.58,20.0,8.0,20,55.089155853105986,98.8853412463768,69,16,3,100,12
timesformer,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,333.7278,2.8889,19.22,8.0,20,49.29017126985583,97.91172329113924,79,49,47,100,12
tsmnonlocal,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,763.5809,7.1168,19.18,8.0,20,49.75906830332216,74.7834245097922,65,47,46,100,12
ila,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,749.1253,7.0885,17.72,8.0,20,54.957763706024764,99.46574139506173,81,72,72,100,12
tsm,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,1005.2235,9.6481,18.69,8.0,20,50.221465609114524,99.6715479076923,65,40,40,100,12
tsn,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,412.6257,3.573,16.29,8.0,20,57.57154455859546,99.5754438484849,66,55,54,100,12
uniformerv2,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,719.7215,6.5137,13.66,8.0,20,53.15092158044191,89.51673475759465,89,89,89,100,12
amd,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,844.6868,7.6664,9.97,8.0,20,56.57627248877177,92.32666855081175,79,79,79,100,12
onepeace,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,4868.0895,48.5798,17.31,8.0,20,56.56453265880722,99.75111543243244,74,57,46,100,12
videomae,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,1308.3114,12.0116,11.0,8.0,20,54.744798746599024,98.24601611904765,84,84,84,100,12
tadaformer,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,3148.7578,30.82,19.85,8.0,20,54.83768417668779,93.96179537576477,87,50,49,100,12
slowonly,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,2705.6616,26.1403,20.0,8.0,20,56.702762941061835,97.13857611627904,43,1,1,100,12
tpn,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,1476.6918,14.2151,15.62,8.0,20,53.62430050892551,99.68470617808222,73,56,56,100,12
videomaev2,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,1643.2995,15.6336,15.05,8.0,20,55.2895110121345,99.39730749450547,91,91,91,100,12
c2d,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,1105.4875,10.1917,14.2,8.0,20,54.55794073487482,99.60238879729727,74,74,74,100,12
r2plus1d,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,1323.3902,12.5628,14.89,8.0,20,57.62554728964077,95.30078565852453,57,56,56,100,12
tanet,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,1884.9122,18.3377,17.2,8.0,20,54.72158438080251,99.62107633333333,66,58,55,100,12
uniformer,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,976.4406,14.5894,12.53,8.0,20,59.12308522695188,98.69053298893674,81,81,81,100,12
mvitv2,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,2029.1986,18.7512,9.88,8.0,20,60.25547170013446,97.4149105837646,82,82,82,100,12
videoswin,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,3300.0471,31.9996,13.04,8.0,20,55.11401587456236,99.30380733749999,80,77,77,100,12
actionclip,korhonen_et_al_target_flip_adaptive,Kinetics400Dataset,508.0347,4.4135,20.0,8.0,20,53.16966795347064,98.91665591176472,68,67,67,100,12
timesformer,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,417.8531,3.7027,20.0,8.0,20,47.703923290568625,99.11288363888887,72,18,1,100,12
tsmnonlocal,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,852.5855,7.9872,19.98,8.0,20,48.54848032755285,99.33177426984126,63,17,2,100,12
ila,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,864.7325,8.2237,19.99,8.0,20,51.56960190772891,74.76332345502243,76,32,23,100,12
tsm,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,1148.0733,10.8927,20.0,8.0,20,48.98131471335662,83.0428065715288,57,16,5,100,12
tsn,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,741.189,6.9462,19.92,8.0,20,54.402126498865414,99.56186677966102,59,35,17,100,12
uniformerv2,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,1234.8886,11.7623,19.8,8.0,20,49.10800247153923,98.3511743058824,85,39,35,100,12
amd,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,1587.1022,15.0682,17.5,8.0,20,51.478139323727696,98.37347943243243,74,73,67,100,12
onepeace,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,5758.7559,57.2159,19.95,8.0,20,53.5774660592131,99.74852486363638,66,25,3,100,12
tadaformer,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,3665.7719,35.8626,20.0,8.0,20,52.56487597767318,98.70752661176472,85,9,6,100,12
slowonly,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,3425.9962,34.1951,20.0,8.0,20,53.39488713251771,95.3443286590715,42,8,0,100,12
videomae,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,2653.394,25.6049,18.84,8.0,20,49.72231477458678,99.4765330789474,76,59,57,100,12
tpn,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,2652.2893,25.88,19.75,8.0,20,50.53942053384483,95.20515119806838,63,25,16,100,12
c2d,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,2099.2974,20.4946,19.83,8.0,20,51.049352744340496,99.74714461666665,60,25,14,100,12
videomaev2,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,2710.8598,26.2428,19.47,8.0,20,52.034171322704,99.27312210588232,85,42,39,100,12
r2plus1d,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,2246.9233,22.0706,19.09,8.0,20,54.08917782318588,97.50588609302326,43,36,23,100,12
tanet,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,2886.4262,28.2919,19.89,8.0,20,51.41624826432767,97.99037529824561,57,25,3,100,12
uniformer,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,3423.065,33.3444,18.8,8.0,20,54.70504378097312,97.12858274074073,81,51,41,100,12
videoswin,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,6010.0017,60.0813,19.73,8.0,20,50.11141962463055,99.22566189610392,77,29,19,100,12
mvitv2,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,3995.3759,39.1224,16.14,8.0,20,55.81441510909434,99.44747051948058,77,65,62,100,12
actionclip,korhonen_et_al_target_gaussian_blur_adaptive,Kinetics400Dataset,832.9676,7.8352,20.0,8.0,20,51.38511404643575,98.61074562121212,66,41,11,100,12
timesformer,korhonen_et_al_target_no_defence_non-adaptive,Kinetics400Dataset,339.5903,2.9193,19.29,8.0,20,49.214415340486205,74.6608179758745,79,52,48,100,12
tsmnonlocal,korhonen_et_al_target_no_defence_non-adaptive,Kinetics400Dataset,781.5491,7.2458,18.93,8.0,20,49.81282392311165,99.43597894915256,59,42,41,100,12
ila,korhonen_et_al_target_no_defence_non-adaptive,Kinetics400Dataset,763.3981,7.2394,18.04,8.0,20,54.64386193945059,99.46520596341463,82,74,74,100,12
